# REACTION TEMPLATES -- pipe-separated, one row per template. Columns:
#
#   name | tier | class | phase | reversible | A | Ea_J | alpha | orders |
#   solid_catalyst | electrons | hammett_rho | hammett_slot |
#   hammett_saturation | smarts | source | notes
#
# ``tools/build_templates.py`` reads this file and emits
# ``src/chemsim/reactions/template_data.py``. Nothing under ``src/chemsim``
# reads this file at run time -- the package is installed from ``src`` alone, so
# ``data/`` is not there to read. Regenerate after every edit.
#
# ADDING A TEMPLATE IS ADDING A ROW. That is the whole point of this file: a
# template used to be a hand-written Python function, 240 catalog classes need
# ~40 sessions of them at the historical rate, and the curve was flat.
#
# ## THE COLUMNS
#
# name        the template's own name, unique in this file. It is what
#             ``Snapshot`` and every report call the reaction.
# tier        ``family`` -- a mechanism, hand-written, applying to any substrate
#             bearing the groups. ``literal`` (T2) -- extracted from one catalog
#             step, kinetics from a class policy table. A literal row is NOT
#             swept into the default library; see ``load_templates``.
# class       the ``route_steps.psv`` reaction classes this template covers,
#             joined with " + ", or empty. Several templates may carry one
#             class: that is a class covered by a FAMILY, and every member
#             carries the credit.
# phase       liquid | gas | any. ``any`` becomes two concrete reactions.
#             NOT a place to record a solid catalyst: a phase label carries a
#             STANDARD STATE, and mislabelling ammonia synthesis "solid" because
#             iron is involved is worth 2.6e10 in K at 500 K.
# reversible  yes | no. Never a free parameter -- the reverse Arrhenius pair is
#             DERIVED by detailed balance from the thermochemistry. ``yes`` is a
#             claim that the reverse is a reaction somebody runs.
# A, Ea_J     forward Arrhenius pair, SI. Every A is an order-of-magnitude
#             choice for the molecularity unless the source cell says otherwise;
#             every Ea is a literature band midpoint, and the ORDERING between
#             two templates is the load-bearing part. Do not read a simulated
#             reaction TIME as a prediction.
# alpha       Evans-Polanyi transfer coefficient in [0, 1]. With it non-zero,
#             Ea_J is the INTRINSIC barrier and each member of the family gets
#             Ea + alpha*dH. Mutually exclusive with hammett_rho.
# orders      one rate-law exponent per reactant SLOT of the SMARTS, joined with
#             ",", or empty for ordinary mass action. A declared order says the
#             written reaction is NOT elementary, so it may not be reversible.
# solid_catalyst  a ``mineral_data`` name whose crystal must be present, or
#             empty. A gate, not a phase, and A is already rescaled by
#             SOLID_CATALYST_REFERENCE where one is declared.
# electrons   electrons across the EXTERNAL CIRCUIT per reaction as written.
#             Non-zero makes this an electrode reaction driven by n F E.
# hammett_rho, hammett_slot, hammett_saturation
#             the substituent-aware barrier (G2, G6), on the sigma-PLUS scale.
#             rho 0 is exactly the pre-G2 engine.
# smarts      atom-mapped reaction SMARTS, "reactants>>products". The
#             transformation is chemistry and its SPECIFICITY is the selectivity
#             mechanism. A homogeneous catalyst is written into BOTH sides with
#             map number 99, which raises its mass-action exponent to 1 and
#             cancels it out of the stoichiometry -- so it gates both directions
#             and cannot move the equilibrium.
# source      where the barrier came from. One line, not a paragraph.
# notes       the wrinkle a reader needs, or empty.
#
# ## AN EMPTY OPTIONAL CELL MEANS THE ``ReactionTemplate`` DEFAULT
#
# and the generator reads those defaults off the dataclass rather than repeating
# them here, so there is one place a default lives. That is why alpha, orders,
# solid_catalyst, electrons and the hammett triple are blank on most rows.
#
# ## WHAT IS NOT HERE, AND WILL NOT BE
#
# No reverse rate, no equilibrium constant, no pKa, no boiling point. Detailed
# balance derives all of them from the thermochemistry; a declared one would be
# a free parameter that silently contradicts it. If a reaction runs to the wrong
# equilibrium the formation data is wrong -- fix that.
#
# The 13 classes ``catalog_coverage`` credits to integrator TERMS -- calcination,
# roasting, precipitation and the rest -- have no row here and cannot have one.
# A lattice is not a graph, so there is no SMARTS to write.
#
# ## THE SMARTS COLUMN IS LAST BUT ONE FOR A REASON
#
# It runs to 200 characters on the fermentations, and putting it third (where
# the spec had it) buries every numeric column past the fold.

fischer_esterification | family | esterification | liquid | yes | 5e+07 | 55000 |  |  |  |  |  |  |  | [CX3:1](=[O:2])[OX2H1:3].[OX2H1:4][CX4:5]>>[CX3:1](=[O:2])[O:4][CX4:5].[OH2:3] | Ea band 50-60 kJ/mol, acid-catalysed/autocatalysed Fischer esterification | the hydrolysis is the derived reverse; the catalysed form is library.esterification(catalyst=...)
homolactic_fermentation | family | homolactic-fermentation | liquid | no | 1000 | 55000 |  |  |  |  |  |  |  | [OX2H:1][CH2:2][C;H1;@,@@:3]1[OX2:4][C;H1;@,@@:5]([OX2H:6])[C;H1;@,@@:7]([OX2H:8])[C;H1;@,@@:9]([OX2H:10])[C;H1;@,@@:11]1[OX2H:12]>>[CH3:5][CH1:7]([OH:8])[CH0:9](=[O:10])[OH:6].[CH3:2][CH1:3]([OH:4])[CH0:11](=[O:12])[OH:1] | Ea 55 kJ/mol as ethanolic_fermentation; A FITTED to the batch time | 
ketofuranose_dehydration | family | dehydration-cyclisation | liquid | no | 1e+13 | 140000 |  |  |  |  |  |  |  | [OX2H:1][CH2:2][C;H1;@,@@:3]1[OX2:4][C;@,@@:5]([OX2H:6])([CH2:7][OX2H:8])[C;H1;@,@@:9]([OX2H:10])[C;H1;@,@@:11]1[OX2H:12]>>[OH1:8][CH2:7][CH0:5]1=[CH1:9][CH1:11]=[CH0:3]([CH1:2]=[OH0:1])[OH0:4]1.[OH2:6].[OH2:10].[OH2:12] | Ea band 125-160 kJ/mol, fructose dehydration in dilute aqueous mineral acid | must stay ABOVE the aldose route: the ordering is the selectivity
aldofuranose_dehydration | family | dehydration-cyclisation | liquid | no | 1e+13 | 130000 |  |  |  |  |  |  |  | [OX2H:1][CH2:2][C;H1;@,@@:3]1[OX2:4][C;H1;@,@@:5]([OX2H:6])[C;H1;@,@@:7]([OX2H:8])[C;H1;@,@@:9]1[OX2H:10]>>[OH0:6]=[CH1:5][CH0:7]1=[CH1:9][CH1:3]=[CH1:2][OH0:1]1.[OH2:4].[OH2:8].[OH2:10] | Ea band 120-145 kJ/mol, xylose dehydration in dilute mineral acid | 
hydroxymethylfurfural_rehydration | family | hydration-ring-opening | liquid | no | 500000 | 110000 |  |  |  |  |  |  |  | [OX2H:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([CH:7]=[O:8])[o:9]1.[OX2H2:10].[OX2H2:11]>>[CH3:2][CH0:3](=[OH0:1])[CH2:4][CH2:5][CH0:6](=[OH0:9])[OH1:10].[CH1:7](=[OH0:8])[OH1:11] | Ea 110 kJ/mol; Girisuta et al. report 110.5 kJ/mol for HMF decomposition | the loss pathway that makes the furan yield a yield
water_electrolysis | family | electro-organic-coupling | liquid | yes | 5e-08 | 308753.062784 | 0.5 |  |  | 4 |  |  |  | [OX2H2:1].[OX2H2:2]>>[H][H].[H][H].[O:1]=[O:2] | A = 5e-8 mol/(L s) is a CURRENT DENSITY, j0*a/(nF) = 1e-3*10/(2*96485) for a bench cell; Ea = n F eta_a with eta_a = 0.80 V | alpha 0.5 is the Butler-Volmer transfer coefficient, which Evans-Polanyi IS on an electrode
halide_electrolysis | family | aqueous-electrolysis | liquid | yes | 5e-08 | 77188.265696 | 0.5 |  |  | 2 |  |  |  | [Cl,Br,I;-1:1].[Cl,Br,I;-1:2].[OX2H2:3].[OX2H2:4]>>[*;+0:1][*;+0:2].[OH-:3].[OH-:4].[H][H] | A as water_electrolysis; Ea = n F eta_a with eta_a = 0.40 V | the LOWER overpotential is why brine evolves chlorine rather than the oxygen its thermodynamics prefers
kolbe_electrolysis | family | electro-organic-coupling | liquid | yes | 5e-08 | 231564.79708800002 | 0.5 |  |  | 2 |  |  |  | [#6:1][CX3:2](=[O:3])[O-:4].[#6:5][CX3:6](=[O:7])[O-:8].[OX2H2:9].[OX2H2:10]>>[#6:1][#6:5].[O:3]=[C;+0:2]=[O;+0:4].[O:7]=[C;+0:6]=[O;+0:8].[OH-:9].[OH-:10].[H][H] | A as water_electrolysis; Ea = n F eta_a with eta_a = 1.20 V | one A for all four electrode templates, deliberately: the selectivity must come from the barrier
alkene_hydrodimerisation | family | electro-organic-coupling | liquid | yes | 1e+08 | 55000 |  |  |  |  |  |  |  | [CH2:1]=[CH1:2][C:3]#[N:4].[CH2:5]=[CH1:6][C:7]#[N:8].[H][H]>>[N:4]#[C:3][CH2:2][CH2:1][CH2:5][CH2:6][C:7]#[N:8] | Ea 55 kJ/mol; A 1e8 as an ordinary bimolecular liquid-phase step | electrons=0: the coupling itself is chemistry, driven by an electrode reaction elsewhere in the cell
water_autoionization | family | proton-transfer + acid-displacement + acid-displacement-precipitating | liquid | yes | 1e+12 | 60000 |  |  |  |  |  |  |  | [OX2H2:1].[OX2H2:2]>>[OH3+:1].[OH-:2] | A 1e12 and Ea 60 kJ/mol for all six: proton transfer is diffusion limited. Ea sits just above the largest dissociation enthalpy in the table (water, 55.8 kJ/mol) so the elementary-barrier clamp does not fire | no pKa is declared here; it enters through the ion thermochemistry and detailed balance
carboxylic_acid_dissociation | family | proton-transfer + acid-displacement + acid-displacement-precipitating | liquid | yes | 1e+12 | 60000 |  |  |  |  |  |  |  | [CX3:1](=[O:2])[OX2H1:3].[OX2H2:4]>>[CX3:1](=[O:2])[O-:3].[OH3+:4] | A and Ea as water_autoionization | 
phenol_dissociation | family | proton-transfer + acid-displacement + acid-displacement-precipitating | liquid | yes | 1e+12 | 60000 |  |  |  |  |  |  |  | [c:1][OX2H1:2].[OX2H2:3]>>[c:1][O-:2].[OH3+:3] | A and Ea as water_autoionization | covers williamson-ether step 1, whose row reads phenol + NaOH -> sodium-phenoxide despite its name
hydrogen_halide_dissociation | family | proton-transfer + acid-displacement + acid-displacement-precipitating | liquid | yes | 1e+12 | 60000 |  |  |  |  |  |  |  | [F,Cl,Br,I;H1:1].[OX2H2:2]>>[F,Cl,Br,I;-:1].[OH3+:2] | A and Ea as water_autoionization | 
mineral_oxyacid_dissociation | family | proton-transfer + acid-displacement + acid-displacement-precipitating | liquid | yes | 1e+12 | 60000 |  |  |  |  |  |  |  | [S,N,P;+0,+1:1](=[O:2])[OX2H1:3].[OX2H2:4]>>[S,N,P:1](=[O:2])[O-:3].[OH3+:4] | A and Ea as water_autoionization | 
amine_protonation | family | proton-transfer + acid-displacement + acid-displacement-precipitating | liquid | yes | 1e+12 | 60000 |  |  |  |  |  |  |  | [NX3;!$([N+]);!$([NX3][CX3]=O);!$([NX3]=*);!$([NX3]#*):1].[OH3+:2]>>[NX4+:1].[OX2H2;+0:2] | A and Ea as water_autoionization | written in the PROTONATION direction because discovery once ran templates forward only; T7 sweeps a reversible template from both sides, so the direction is now a choice rather than a constraint
